时间/s,0.0 cm,0.1 cm,0.2 cm,0.3 cm,0.4 cm,0.5 cm,0.6 cm,0.7 cm,0.8 cm,0.9 cm,1.0 cm,1.1 cm,1.2 cm,1.3 cm,1.4 cm,1.5 cm,1.6 cm,1.7 cm,1.8 cm,1.9 cm,2.0 cm
60,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999970,2.549999998603,2.549999938776,2.549997599637,2.549920829476,2.548023271565,2.519213603745,2.329549930651
120,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999992,2.549999999706,2.549999990616,2.549999738673,2.549993889513,2.549886224421,2.548429289545,2.535298578365,2.464219017071,2.243533086763
180,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999963,2.549999999042,2.549999978229,2.549999574402,2.549993055143,2.549908833010,2.549077477074,2.543116777580,2.513444532543,2.413213396280,2.180865199425
240,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999996,2.549999999916,2.549999998325,2.549999970711,2.549999557913,2.549994370372,2.549941029384,2.549505205317,2.546757252642,2.533713940029,2.487772395053,2.367590527337,2.130085804564
300,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999993,2.549999999874,2.549999997960,2.549999970854,2.549999637368,2.549996137129,2.549965394580,2.549743854475,2.548458267685,2.542544454654,2.521197196387,2.460867861518,2.326486806183,2.086998214284
360,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999990,2.549999999854,2.549999998009,2.549999975762,2.549999740211,2.549997580492,2.549980677536,2.549869333455,2.549260005484,2.546519984640,2.536473076455,2.506531275788,2.433854419445,2.289083469345,2.049407286269
420,2.550000000000,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999989,2.549999999858,2.549999998313,2.549999981980,2.549999828537,2.549998562668,2.549989494767,2.549933691883,2.549641534925,2.548350872533,2.543569160830,2.528762697563,2.490446765091,2.407283207662,2.254776038750,2.015911171299
480,2.550000000000,2.550000000000,2.550000000000,2.549999999999,2.549999999989,2.549999999876,2.549999998696,2.549999987526,2.549999892448,2.549999172507,2.549994368362,2.549966360359,2.549824800648,2.549208574684,2.546909933293,2.539586677672,2.519682270439,2.473465212735,2.381413342986,2.223076052850,1.985611345159
540,2.550000000000,2.550000000000,2.549999999999,2.549999999990,2.549999999899,2.549999999049,2.549999991743,2.549999934595,2.549999532028,2.549996999911,2.549982885066,2.549913611006,2.549615923095,2.548500776608,2.544870603426,2.534617848598,2.509492248838,2.455955928310,2.356361632963,2.193589979557,1.957972583642
600,2.550000000000,2.549999999999,2.549999999991,2.549999999920,2.549999999328,2.549999994668,2.549999960883,2.549999737537,2.549998402994,2.549991246677,2.549957012894,2.549811645384,2.549265901479,2.547459883286,2.542201532726,2.528740003218,2.498415267451,2.438161573677,2.332139856762,2.166012977445,1.932619050880
